OUI,Vendor,Source
00:00:0C,Cisco Systems Inc,Wireshark
00:01:42,Cisco Systems Inc,Wireshark
00:01:64,Cisco Systems Inc,Wireshark
00:01:96,Cisco Systems Inc,Wireshark
00:01:97,Cisco Systems Inc,Wireshark
00:01:C7,Cisco Systems Inc,Wireshark
00:01:C9,Cisco Systems Inc,Wireshark
00:02:17,Cisco Systems Inc,Wireshark
00:02:3D,Cisco Systems Inc,Wireshark
00:02:4A,Cisco Systems Inc,Wireshark
00:02:4B,Cisco Systems Inc,Wireshark
00:02:7D,Cisco Systems Inc,Wireshark
00:02:7E,Cisco Systems Inc,Wireshark
00:02:B9,Cisco Systems Inc,Wireshark
00:02:BA,Cisco Systems Inc,Wireshark
00:02:FC,Cisco Systems Inc,Wireshark
00:02:FD,Cisco Systems Inc,Wireshark
00:03:31,Cisco Systems Inc,Wireshark
00:03:32,Cisco Systems Inc,Wireshark
00:03:6B,Cisco Systems Inc,Wireshark
00:03:6C,Cisco Systems Inc,Wireshark
00:03:9F,Cisco Systems Inc,Wireshark
00:03:A0,Cisco Systems Inc,Wireshark
00:03:E3,Cisco Systems Inc,Wireshark
00:03:E4,Cisco Systems Inc,Wireshark
00:03:FD,Cisco Systems Inc,Wireshark
00:03:FE,Cisco Systems Inc,Wireshark
00:04:27,Cisco Systems Inc,Wireshark
00:04:28,Cisco Systems Inc,Wireshark
00:04:4D,Cisco Systems Inc,Wireshark
00:04:4E,Cisco Systems Inc,Wireshark
00:04:6D,Cisco Systems Inc,Wireshark
00:04:6E,Cisco Systems Inc,Wireshark
00:04:9A,Cisco Systems Inc,Wireshark
00:04:9B,Cisco Systems Inc,Wireshark
00:04:C0,Cisco Systems Inc,Wireshark
00:04:C1,Cisco Systems Inc,Wireshark
00:04:DD,Cisco Systems Inc,Wireshark
00:04:DE,Cisco Systems Inc,Wireshark
00:05:00,Cisco Systems Inc,Wireshark
00:05:01,Cisco Systems Inc,Wireshark
00:05:31,Cisco Systems Inc,Wireshark
00:05:32,Cisco Systems Inc,Wireshark
00:05:5E,Cisco Systems Inc,Wireshark
00:05:5F,Cisco Systems Inc,Wireshark
00:05:73,Cisco Systems Inc,Wireshark
00:05:74,Cisco Systems Inc,Wireshark
00:05:9A,Cisco Systems Inc,Wireshark
00:05:9B,Cisco Systems Inc,Wireshark
00:05:DC,Cisco Systems Inc,Wireshark
00:05:DD,Cisco Systems Inc,Wireshark
00:06:28,Cisco Systems Inc,Wireshark
00:06:2A,Cisco Systems Inc,Wireshark
00:06:52,Cisco Systems Inc,Wireshark
00:06:53,Cisco Systems Inc,Wireshark
00:06:7C,Cisco Systems Inc,Wireshark
00:06:C1,Cisco Systems Inc,Wireshark
00:06:D6,Cisco Systems Inc,Wireshark
00:06:D7,Cisco Systems Inc,Wireshark
00:06:F6,Cisco Systems Inc,Wireshark
00:07:0E,Cisco Systems Inc,Wireshark
00:07:4F,Cisco Systems Inc,Wireshark
00:07:50,Cisco Systems Inc,Wireshark
00:07:7D,Cisco Systems Inc,Wireshark
00:07:84,Cisco Systems Inc,Wireshark
00:07:85,Cisco Systems Inc,Wireshark
00:07:B3,Cisco Systems Inc,Wireshark
00:07:B4,Cisco Systems Inc,Wireshark
00:07:EB,Cisco Systems Inc,Wireshark
00:07:EC,Cisco Systems Inc,Wireshark
00:08:20,Cisco Systems Inc,Wireshark
00:08:21,Cisco Systems Inc,Wireshark
00:08:2F,Cisco Systems Inc,Wireshark
00:08:30,Cisco Systems Inc,Wireshark
00:08:31,Cisco Systems Inc,Wireshark
00:08:32,Cisco Systems Inc,Wireshark
00:08:7C,Cisco Systems Inc,Wireshark
00:08:7D,Cisco Systems Inc,Wireshark
00:08:A3,Cisco Systems Inc,Wireshark
00:08:A4,Cisco Systems Inc,Wireshark
00:08:C2,Cisco Systems Inc,Wireshark
00:08:E2,Cisco Systems Inc,Wireshark
00:08:E3,Cisco Systems Inc,Wireshark
00:09:11,Cisco Systems Inc,Wireshark
00:09:12,Cisco Systems Inc,Wireshark
00:09:43,Cisco Systems Inc,Wireshark
00:09:44,Cisco Systems Inc,Wireshark
00:09:7B,Cisco Systems Inc,Wireshark
00:09:7C,Cisco Systems Inc,Wireshark
00:09:B6,Cisco Systems Inc,Wireshark
00:09:B7,Cisco Systems Inc,Wireshark
00:09:E8,Cisco Systems Inc,Wireshark
00:09:E9,Cisco Systems Inc,Wireshark
00:0A:41,Cisco Systems Inc,Wireshark
00:0A:42,Cisco Systems Inc,Wireshark
00:0A:8A,Cisco Systems Inc,Wireshark
00:0A:8B,Cisco Systems Inc,Wireshark
00:0A:B7,Cisco Systems Inc,Wireshark
00:0A:B8,Cisco Systems Inc,Wireshark
00:0A:F3,Cisco Systems Inc,Wireshark
00:0A:F4,Cisco Systems Inc,Wireshark
00:0B:45,Cisco Systems Inc,Wireshark
00:0B:46,Cisco Systems Inc,Wireshark
00:0B:5F,Cisco Systems Inc,Wireshark
00:0B:60,Cisco Systems Inc,Wireshark
00:0B:85,Cisco Systems Inc,Wireshark
00:0B:BE,Cisco Systems Inc,Wireshark
00:0B:BF,Cisco Systems Inc,Wireshark
00:0B:FC,Cisco Systems Inc,Wireshark
00:0B:FD,Cisco Systems Inc,Wireshark
00:0C:30,Cisco Systems Inc,Wireshark
00:0C:31,Cisco Systems Inc,Wireshark
00:0C:85,Cisco Systems Inc,Wireshark
00:0C:86,Cisco Systems Inc,Wireshark
00:0C:CE,Cisco Systems Inc,Wireshark
00:0C:CF,Cisco Systems Inc,Wireshark
00:0D:28,Cisco Systems Inc,Wireshark
00:0D:29,Cisco Systems Inc,Wireshark
00:0D:65,Cisco Systems Inc,Wireshark
00:0D:66,Cisco Systems Inc,Wireshark
00:0D:BC,Cisco Systems Inc,Wireshark
00:0D:BD,Cisco Systems Inc,Wireshark
00:0D:EC,Cisco Systems Inc,Wireshark
00:0D:ED,Cisco Systems Inc,Wireshark
00:0E:38,Cisco Systems Inc,Wireshark
00:0E:39,Cisco Systems Inc,Wireshark
00:0E:83,Cisco Systems Inc,Wireshark
00:0E:84,Cisco Systems Inc,Wireshark
00:0E:D6,Cisco Systems Inc,Wireshark
00:0E:D7,Cisco Systems Inc,Wireshark
00:0F:23,Cisco Systems Inc,Wireshark
00:0F:24,Cisco Systems Inc,Wireshark
00:0F:34,Cisco Systems Inc,Wireshark
00:0F:35,Cisco Systems Inc,Wireshark
00:0F:8F,Cisco Systems Inc,Wireshark
00:0F:90,Cisco Systems Inc,Wireshark
00:0F:F7,Cisco Systems Inc,Wireshark
00:0F:F8,Cisco Systems Inc,Wireshark
00:10:0B,Cisco Systems Inc,Wireshark
00:10:14,Cisco Systems Inc,Wireshark
00:10:54,Cisco Systems Inc,Wireshark
00:10:7B,Cisco Systems Inc,Wireshark
00:10:A6,Cisco Systems Inc,Wireshark
00:10:F6,Cisco Systems Inc,Wireshark
00:10:FF,Cisco Systems Inc,Wireshark
00:11:20,Cisco Systems Inc,Wireshark
00:11:21,Cisco Systems Inc,Wireshark
00:11:5C,Cisco Systems Inc,Wireshark
00:11:5D,Cisco Systems Inc,Wireshark
00:11:92,Cisco Systems Inc,Wireshark
00:11:93,Cisco Systems Inc,Wireshark
00:11:BB,Cisco Systems Inc,Wireshark
00:11:BC,Cisco Systems Inc,Wireshark
00:12:00,Cisco Systems Inc,Wireshark
00:12:01,Cisco Systems Inc,Wireshark
00:12:43,Cisco Systems Inc,Wireshark
00:12:44,Cisco Systems Inc,Wireshark
00:12:7F,Cisco Systems Inc,Wireshark
00:12:80,Cisco Systems Inc,Wireshark
00:12:D9,Cisco Systems Inc,Wireshark
00:12:DA,Cisco Systems Inc,Wireshark
00:13:19,Cisco Systems Inc,Wireshark
00:13:1A,Cisco Systems Inc,Wireshark
